vertices,redexes,redex_depths,redex_indexes,heights,widths,steps_time,strategy_name
49,6,19,33,20,16,445519,LI
45,5,13,23,20,15,306003,LI
42,5,14,24,18,14,271797,LI
39,4,11,21,18,13,222325,LI
36,3,6,15,16,12,132322,LI
33,2,4,6,14,11,82010,LI
30,1,1,1,16,10,26191,LI
53,7,6,6,17,16,189972,LI
49,6,11,20,17,15,259648,LI
46,5,9,11,17,14,327559,LI
41,4,14,30,17,13,290803,LI
38,3,8,23,15,12,252974,LI
35,2,6,7,13,11,232793,LI
18,1,2,2,10,5,41575,LI
16,3,8,11,9,4,64017,LI
13,2,3,3,7,3,30414,LI
10,1,1,1,6,2,12552,LI
7,1,1,1,4,1,8046,LI
54,6,12,12,15,17,262620,LI
51,5,8,8,14,16,309488,LI
48,5,7,7,12,15,164762,LI
45,5,6,6,10,14,175727,LI
42,5,5,5,8,13,146043,LI
39,4,5,9,8,12,119700,LI
36,3,4,12,8,11,85048,LI
33,2,6,23,7,10,91682,LI
29,1,5,25,7,9,363207,LI
56,6,8,9,17,18,280937,LI
53,5,7,27,18,17,222493,LI
47,4,5,5,18,15,121654,LI
54,3,6,49,19,18,122218,LI
51,2,2,44,19,17,115778,LI
47,1,1,1,19,16,53024,LI
53,2,8,10,17,18,188464,LI
51,2,8,10,17,17,176889,LI
47,1,15,30,17,16,287168,LI
45,1,15,30,17,15,264014,LI
51,7,10,25,14,17,400520,LI
45,6,6,10,12,15,167090,LI
27,5,6,12,10,9,93546,LI
24,4,4,8,8,8,65081,LI
21,4,4,16,7,7,60192,LI
18,3,3,7,7,6,42246,LI
21,5,5,15,7,5,68697,LI
16,4,4,11,6,4,45331,LI
12,3,3,7,5,3,27473,LI
8,2,2,4,3,2,14094,LI
5,1,1,1,2,1,5223,LI
55,10,6,6,11,18,108799,LI
52,9,6,9,11,17,107826,LI
48,9,5,8,11,16,83223,LI
45,8,4,4,11,15,65185,LI
42,7,10,16,11,14,123066,LI
39,6,6,12,9,13,88138,LI
34,5,3,6,8,11,49201,LI
31,4,2,2,8,10,32686,LI
28,4,4,19,8,9,91250,LI
25,3,3,16,7,8,55621,LI
22,2,2,10,6,7,39070,LI
19,2,3,11,7,6,39502,LI
16,1,1,1,6,5,16058,LI
58,6,16,18,23,19,472123,LI
55,5,22,38,23,18,594091,LI
52,4,19,35,22,17,496844,LI
44,3,17,33,20,14,451014,LI
41,2,13,15,20,13,295523,LI
26,2,12,14,16,8,147502,LI
23,1,1,1,14,7,26371,LI
23,3,10,14,12,6,124593,LI
20,3,9,13,11,5,87895,LI
17,2,7,9,9,4,60946,LI
14,1,2,2,8,3,26928,LI
11,1,1,1,7,2,13690,LI
57,3,13,28,16,21,431398,LI
52,2,15,39,16,20,344850,LI
48,1,2,2,15,19,58340,LI
56,9,6,12,17,19,175822,LI
53,8,10,18,17,18,502463,LI
50,7,15,36,17,17,382956,LI
47,6,12,30,16,16,343966,LI
40,5,11,23,16,14,296672,LI
37,4,9,21,14,13,262403,LI
34,3,8,16,12,12,185237,LI
35,3,8,16,12,11,183956,LI
28,2,9,22,10,10,156459,LI
23,1,3,4,10,8,59396,LI
57,6,3,3,18,19,56994,LI
54,6,2,2,18,18,40229,LI
51,6,15,23,18,17,379920,LI
44,5,12,19,17,15,292592,LI
41,4,16,30,17,14,320171,LI
37,3,10,17,16,13,191311,LI
24,2,4,10,10,8,88272,LI
21,1,1,1,10,7,19947,LI
53,7,14,24,16,17,553581,LI
50,6,13,17,16,16,388516,LI
47,6,14,19,15,15,451329,LI
44,5,13,21,14,14,401730,LI
41,4,11,15,13,13,311452,LI
37,3,9,10,12,12,238464,LI
34,3,8,9,12,11,207271,LI
30,2,7,16,10,10,164564,LI
27,1,2,2,10,9,56668,LI
28,3,5,5,8,8,105079,LI
25,2,5,12,7,7,94295,LI
22,1,3,18,7,6,58412,LI
55,4,12,14,17,20,449163,LI
52,3,15,27,17,19,585355,LI
49,2,11,21,17,18,384681,LI
46,2,10,20,16,17,336552,LI
43,2,14,28,15,16,336734,LI
40,1,7,8,14,15,226160,LI
56,5,18,35,21,18,573001,LI
53,4,16,41,19,17,446529,LI
50,3,13,19,19,16,501908,LI
26,2,9,14,12,8,125495,LI
22,1,4,19,10,7,62699,LI
57,5,7,12,14,18,169145,LI
44,4,5,10,12,14,67318,LI
41,3,3,3,12,13,47263,LI
37,2,2,7,12,12,100507,LI
54,6,9,24,12,16,285361,LI
51,6,8,23,12,15,246264,LI
48,6,8,23,12,14,234617,LI
45,5,6,16,12,13,206235,LI
42,5,9,34,12,12,261239,LI
39,4,7,27,11,11,211460,LI
36,3,5,15,11,10,146293,LI
33,3,5,15,11,9,127552,LI
24,2,4,9,9,6,73399,LI
21,2,3,8,10,5,51355,LI
18,2,3,8,8,4,42217,LI
15,1,1,1,7,3,16516,LI
51,10,4,6,12,16,63273,LI
47,9,3,3,12,15,40760,LI
42,8,10,19,12,14,231959,LI
39,7,8,10,12,13,221002,LI
35,7,9,17,11,12,162613,LI
32,7,8,16,10,11,135592,LI
29,6,7,9,10,10,110559,LI
26,5,8,17,9,9,108913,LI
21,4,5,7,8,7,67485,LI
15,3,4,12,6,5,43659,LI
12,2,3,5,6,4,28276,LI
9,1,1,1,4,3,9202,LI
51,5,5,8,11,15,178027,LI
50,6,6,11,11,14,179047,LI
47,5,5,8,11,13,152217,LI
44,5,6,12,11,12,157247,LI
39,5,5,11,11,11,122360,LI
36,4,4,7,11,10,100715,LI
32,4,10,16,11,9,140719,LI
29,3,5,10,10,8,104971,LI
26,2,3,6,12,7,68560,LI
23,2,2,5,11,6,46375,LI
24,3,6,10,10,5,79579,LI
19,3,8,14,10,4,72867,LI
15,2,5,9,8,3,42879,LI
12,1,1,1,7,2,12013,LI
52,6,11,15,14,19,300870,LI
47,5,9,13,12,17,297311,LI
38,5,8,12,10,13,160236,LI
35,4,7,15,8,12,138764,LI
32,3,5,6,8,11,109526,LI
29,2,7,19,8,10,119071,LI
26,1,6,16,8,9,95616,LI
52,4,9,11,12,20,136626,LI
49,3,11,31,12,19,274601,LI
46,3,10,30,12,18,240754,LI
43,2,3,12,11,17,120646,LI
40,1,2,2,10,16,83850,LI
37,1,1,1,14,15,44906,LI
34,1,1,1,12,14,28128,LI
55,2,6,6,19,21,299681,LI
52,1,12,16,19,20,541568,LI
54,7,2,2,17,17,37760,LI
51,7,14,19,17,16,406848,LI
48,6,13,16,15,15,302683,LI
45,5,11,19,15,14,313058,LI
42,4,10,13,14,13,211903,LI
39,3,4,6,16,12,132383,LI
37,3,6,31,14,11,152369,LI
33,2,3,5,14,10,74401,LI
30,1,1,1,15,9,24913,LI
56,4,7,7,21,20,207349,LI
53,3,5,5,21,19,182008,LI
49,2,9,14,21,18,330088,LI
25,1,5,6,10,9,105564,LI
22,1,7,8,9,8,106448,LI
20,1,7,8,8,7,129109,LI
17,1,6,7,8,6,68521,LI
56,4,19,28,21,22,521204,LI
53,4,20,31,21,21,463685,LI
50,3,18,27,19,20,397545,LI
47,3,17,26,18,19,351263,LI
44,2,14,20,17,18,297742,LI
37,1,2,2,17,15,55700,LI
56,5,11,16,14,20,255687,LI
53,4,12,23,14,19,250579,LI
50,3,11,33,12,18,295263,LI
47,3,10,32,12,17,226706,LI
42,2,7,29,12,16,156786,LI
39,1,4,35,12,15,104580,LI
55,7,6,14,10,14,170874,LI
52,7,6,17,10,13,157934,LI
49,6,5,13,10,12,136152,LI
44,5,4,9,10,11,106434,LI
40,5,7,22,10,10,283627,LI
37,5,8,23,10,9,181841,LI
34,4,6,15,10,8,164725,LI
31,4,5,14,10,7,116378,LI
25,3,4,11,8,6,136472,LI
22,2,3,8,7,5,65592,LI
19,2,2,7,6,4,38007,LI
16,2,2,7,6,3,32943,LI
13,2,2,7,5,2,25642,LI
8,1,1,1,5,1,9550,LI
55,10,2,2,12,16,70912,LI
52,10,4,9,12,15,78292,LI
49,9,6,15,12,14,159328,LI
43,8,5,12,12,13,141834,LI
40,8,6,19,12,12,152646,LI
36,7,5,16,12,11,121380,LI
33,6,4,11,12,10,98174,LI
31,6,4,11,12,9,73238,LI
28,6,11,23,12,8,135937,LI
25,5,9,18,10,7,165611,LI
20,4,6,15,8,5,106038,LI
17,4,5,14,6,4,72670,LI
14,3,3,10,5,3,32170,LI
11,2,2,7,5,2,21288,LI
8,1,1,1,5,1,9017,LI
52,5,13,37,20,15,320151,LI
48,4,4,44,20,14,141658,LI
45,3,3,40,20,13,125010,LI
41,2,2,4,20,12,81420,LI
38,2,11,18,18,11,307999,LI
35,1,1,1,17,10,28918,LI
51,6,22,29,24,16,558666,LI
48,5,20,27,24,15,545620,LI
42,4,17,24,24,13,352902,LI
39,3,15,22,22,12,298987,LI
36,2,13,17,20,11,261212,LI
20,2,12,16,13,5,92980,LI
17,1,2,2,11,4,22152,LI
56,8,3,5,14,18,86315,LI
53,8,8,15,14,17,156173,LI
48,8,7,14,14,15,124069,LI
45,7,11,23,14,14,234621,LI
42,6,11,29,14,13,236723,LI
34,5,9,25,10,10,163944,LI
30,4,7,18,10,9,126009,LI
26,3,3,10,8,8,65259,LI
12,2,2,4,5,3,23162,LI
11,2,3,5,5,2,23702,LI
6,1,1,1,3,1,6422,LI
